Institute Code,Institute,Program,Category,Quota,Opening Rank,Closing Rank
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)",Electronics Engineering (Shift I),OPEN,Home State,54243,60271
800091,"J.S.S. ACADEMY OF TECHNICAL
EDUCATION,GAUTAM BUDDH NAGAR (0091)","Electronics and Communication
Engineering (Shift I)(FW)",OPEN(TF),Home State,54504,83777
,,Machine Learning)  (Shift I),,,,
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Mechanical Engineering (Shift I),BC,Home State,54929,60599
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Mechanical Engineering (Shift I),EWS(OPEN),Home State,55173,59227
800841,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA
(0841)",Computer Science and Engineering (Shift I),OPEN,All India,55380,97761
800802,"NITRA TECHNICAL CAMPUS,GHAZIABAD (0802)",Computer Science and Engineering (Shift I),OPEN,All India,55390,150670
800166,"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY
FOR HANDICAPPEDS,KANPUR (0166)","Computer Science and Engineering (Shift
I)(FW)",OPEN(TF),Home State,55495,62335
800110,"INSTITUTE OF ENGG. & RURAL
TECHNOLOGY,ALLAHABAD (0110)","Computer Science and Engineering (Shift
I)(FW)",OPEN(TF),Home State,55505,72531
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Civil Engineering (Shift I),OPEN,Home State,55506,62913
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)",Mechanical Engineering (Shift I),OPEN,All India,56120,77173
800027,"AJAY KUMAR GARG ENGG.
COLLEGE,GHAZIABAD (0027)","Computer Science and Information
Technology (Shift I)(FW)",OPEN(TF),Home State,56222,77804
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Electronics and Communication
Engineering (Shift I)",BC(Girl),Home State,56274,62833
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Mechanical Engineering (Shift I),OPEN(AF),Home State,56297,56297
801512,"Lucknow University, Lucknow (1512)",Computer Science and Engineering (Shift I),OPEN,Home State,56316,116653
800043,BUNDELKHAND INSTITUTE OF ENGINEERING &,Electronics and Communication,OPEN,Home State,56344,62306
800091,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR (0091)","Computer Science and Engineering(Artificial Intelligence &
Machine Learning)  (Shift I)",OPEN(GIRL),Home State,56585,65050
800029,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT.
OF ENGG. & TECHNOLOGY),GHAZIABAD (0029)",Computer Science (Shift I),OPEN,All India,56617,130435
800290,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD
(0290)","Computer Science and Engineering (Shift
I)(FW)",OPEN(TF),Home State,57121,147595
800382,"KAMLA NEHRU INSTITUTE OF PHYSICAL &
SOCIAL SCIENCES,SULTANPUR (0382)","Computer Science and Engineering (Shift
I)(FW)",OPEN(TF),Home State,57170,100008
800192,"G.L. BAJAJ INSTITUTE OF  TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR
(0192)",Computer Science and Engineering (Artificial Intelligence) (Shift I)(FW),OPEN(TF),Home State,57374,118405
800027,"AJAY KUMAR GARG ENGG.
COLLEGE,GHAZIABAD (0027)","Artificial Intelligence And Machine
Learning (Shift I)",BC(AF),Home State,432669,432669
800029,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD (0029)","Computer Science and Engineering(Artificial Intelligence &
Machine Learning)  (Shift I)",OPEN,All India,57617,92454
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)",Computer Science and Engineering (Shift I),BC(Girl),Home State,57701,63127
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)",Electronics Engineering (Shift I),OPEN(GIRL),Home State,57880,60963
800027,"AJAY KUMAR GARG ENGG.
COLLEGE,GHAZIABAD (0027)",Computer Science (Shift I)(FW),OPEN(TF),Home State,58028,70619
800734,"RAJKIYA ENGINEERING COLLEGE,BANDA (0734)",Information Technology (Shift I)(FW),OPEN(TF),Home State,58180,69208
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Computer Science and Engineering (Self
Finance) (Shift I)",BC(Girl),Home State,58205,59196
800091,"J.S.S. ACADEMY OF TECHNICAL
EDUCATION,GAUTAM BUDDH NAGAR (0091)",Computer Science and Engineering (Shift I),BC,Home State,58463,67797
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Civil Engineering (Shift I),OPEN(GIRL),Home State,58553,70913
800091,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR (0091)","Computer Science and Engineering(Artificial Intelligence &
Machine Learning)  (Shift I)",OPEN(AF),Home State,58897,58897
800192,"G.L. BAJAJ INSTITUTE OF  TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR
(0192)","Computer Science and Engineering(Artificial Intelligence &
Machine Learning)  (Shift I)(FW)",OPEN(TF),Home State,58999,109133
800091,"J.S.S. ACADEMY OF TECHNICAL
EDUCATION,GAUTAM BUDDH NAGAR (0091)",Computer Science and Engineering (Shift I),EWS(OPEN),Home State,59095,65205
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)","Electronics and Communication
Engineering (Shift I)",OPEN(GIRL),Home State,59332,66319
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)",Electrical Engineering (Shift I)(FW),OPEN(TF),Home State,59422,67863
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Chemical Engineering (Shift I),OPEN,Home State,59601,70705
,"OF ENGG. & TECHNOLOGY),GHAZIABAD (0029)",,,,,
800840,"RAJKIYA ENGINEERING COLLEGE,MAINPURI
(0840)",Computer Science and Engineering (Shift I),OPEN,All India,59614,88383
